Number of rooms:85
1200
2500
800
200
200
600
400
500
1100
1000
500
450
700
100
600
700
900
850
1050
550
2500
700
1500
600
500
2000
500
50
700
850
100
700
1200
600
950
500
1900
450
900
800
250
800
650
360
600
800
50
100
1000
1000
1000
820
400
700
150
600
500
500
900
400
900
1200
1200
250
1400
600
500
1100
1000
700
800
900
1000
1500
200
2100
1500
1800
650
600
1400
2000
1500
900
2400
